ID da resposta,Data de início,Data da última ação,Endereço IP,O que achou do sistema de submissão de trabalhos?,O que achou do sistema de submissão de trabalhos? - comment,Você mora em Curitiba?,O que você achou das instalações do evento?,O que você achou das instalações do evento? - comment,Você teve alguma dificuldade para se hospedar no hotel?,"Considerando todos os aspectos locais do evento, nos dê sua opinião:

	O que você achou do evento?",Você teve acesso a todos os recursos necessários para sua apresentação?,"Se não, quais recursos faltaram?","Durante o evento, você teve alguma dificuldade para se alimentar?"
48,2015-04-26 12:19:54,2015-04-26 12:28:36,177.82.17.223,Bom,Não usei,Não,Ótimo,Excelente espaço para palestras e para install fest.,Não,"O evento foi ótimo. Bem organizado, com temas interessantes. Gostei muito de conhecer mais a comunidade de Curitiba, me senti muito bem recebida.

Parece que muitas pessoas estavam conhecendo software livre pela primeira vez, talvez uma ideia boa seja começar com uma palestra introdutória sobre o que é software livre. Os vídeos passando e os banners com os conceitos são excelentes!",Sim,,Não
49,2015-04-26 12:30:47,2015-04-26 12:32:33,187.58.244.137,Ótimo,,Sim,Bom,,N/A,,Sim,,Não
50,2015-04-26 12:33:38,2015-04-26 12:35:23,201.25.181.187,Normal,,Sim,Ótimo,,N/A,,Sim,,Não
51,2015-04-26 12:50:07,2015-04-26 12:56:26,189.26.52.174,Normal,"Alguns palestrantes demosntraram pouca habilidade para trabalhar em público. As apresentações não seguiam um padrão. Deixo como sugestão a equipe organizadora montar um esquema padrão de apresentações, com um fundo comum a todos os palestrantes, tendo a marco d'água o símbolo do evento, ou cabeçalho padrão. Entretanto, as propostas apresentadas foram de boa escolha.",Sim,Ótimo,"Auditórios com tamanho adequado, boa sinalização das atividades, organizadores cientes dos trâmites e procedimetos de inscrição e atividades. Ótimo!",N/A,Poderia ter uma divulgação mais ampla.,Sim,,Não
52,2015-04-26 13:10:59,2015-04-26 13:11:41,179186228240,Normal,,Sim,Bom,,N/A,Muito bom.,Sim,,Não
53,2015-04-26 13:22:25,2015-04-26 13:23:41,177.92.50.34,Bom,,Sim,Bom,,N/A,Muito bom o evento o problema foi a alimentação durante o evento.,Sim,,Sim
54,2015-04-26 15:28:17,2015-04-26 15:28:17,186.206.34.116,,,N/A,,,N/A,,N/A,,N/A
55,2015-04-26 15:31:22,2015-04-26 15:33:04,179.244.59.94,Ótimo,,Sim,Ótimo,,N/A,Achei bom mas gostaria de ter mais pessoas participando.,Sim,,Não
56,2015-04-26 15:33:12,2015-04-26 15:33:12,179.244.59.94,,,N/A,,,N/A,,N/A,,N/A
57,2015-04-26 16:06:46,2015-04-26 16:10:46,187.5.46.141,Normal,Não sei como opinar nesse caso.,Não,Ótimo,,Não,"Com certeza um dos melhores eventos que já participei. Não sei se pelo fato de haver sido realizado na PUC-PR, mas não fim das contas, as palestras, a instalações, o grupo de ""instaladores"", achei o máximo, continuem assim!",Sim,,Não
